Cars Names,HorsePower_clean,TopSpeed_clean,Accel_clean,Cluster
Panamera Platinum Edition,325.0,265.0,5.6,0
Panamera GTS Sport Turismo,473.0,300.0,3.9,2
Panamera Turbo Executive,550.0,306.0,3.8,2
Panamera Turbo S Exclusive Series,570.0,310.0,3.8,2
Panamera 4S ,443.0,289.0,4.1,2
Macan Base,265.0,232.0,6.4,0
Macan T,265.0,233.0,6.2,0
Macan S,375.0,259.0,4.6,0
Macan GTS,434.0,272.0,4.3,2
Macan EV ,603.0,240.0,4.0,2
Cayenne Base,335.0,245.0,5.9,0
Cayenne E-Hybrid,455.0,253.0,4.8,0
Cayenne S Coupe,434.0,263.0,4.7,2
Cayenne Turbo GT,631.0,300.0,3.3,2
Cayenne Platinum Edition,335.0,245.0,5.8,0
Cayenne Turbo S E-Hybrid Coupe,670.0,295.0,3.6,2
Cayenne GTS Coupe,453.0,270.0,4.5,2
Cayenne Diesel (Regional Markets),262.0,221.0,7.3,0
Cayenne S Hybrid,380.0,242.0,6.5,0
Cayenne Coupe Turbo E-Hybrid,728.0,295.0,3.6,2
Taycan Base,321.0,230.0,5.4,0
CT4,237.0,250.0,6.0,0
CT4-V,325.0,260.0,4.9,0
CT5,237.0,240.0,6.6,0
CT5-V,360.0,250.0,4.6,0
Taycan Cross Turismo 4,375.0,240.0,5.1,0
Taycan Cross Turismo GTS,590.0,250.0,3.8,2
