myear,fuel,transmission,km,body,Color,Engine Type,No of Cylinder,Length,Width,Height,Seats,Gear Box,Drive Type,Steering Type,owner_type,state,City,listed_price
2016,cng,manual,75062.0,hatchback,silver,k10b engine,3.0,3600.0,1600.0,1560.0,5.0,5 speed,fwd,power,first,maharashtra,mumbai,419000.0
2011,cng,manual,76550.0,hatchback,silver,k series petrol engine,3.0,3595.0,1475.0,1700.0,5.0,5 speed,fwd,power,third,delhi,new delhi,120000.0
2015,cng,manual,48422.0,hatchback,superior white,f8d engine,3.0,3395.0,1490.0,1475.0,5.0,5 speed,fwd,power,first,delhi,new delhi,250000.0
2012,cng,manual,54741.0,hatchback,glistening grey,k series petrol engine,3.0,3595.0,1475.0,1700.0,5.0,5 speed,fwd,power,second,maharashtra,pune,270909.0
2010,cng,manual,138733.0,hatchback,dusky brown,k series petrol engine,3.0,3600.0,1475.0,1595.0,5.0,5 speed,fwd,power,second,maharashtra,pune,158101.0
2012,cng,manual,57739.0,minivans,white,in-line engine,4.0,3675.0,1475.0,1800.0,5.0,5 speed,rwd,power,first,haryana,gurgaon,192761.0
2019,cng,manual,29069.0,hatchback,white,k10b engine,3.0,3599.0,1495.0,1700.0,5.0,5 speed,fwd,power,first,maharashtra,pune,450000.0
2015,cng,manual,76035.0,muv,silver,k series engine,4.0,4265.0,1695.0,1685.0,7.0,5 speed,fwd,power,first,maharashtra,thane,695000.0
2014,cng,manual,56985.0,hatchback,white,bi-fuel engine,2.0,3164.0,1750.0,1652.0,4.0,4 speed,rwd,manual,first,maharashtra,pune,145539.0
2021,cng,manual,46907.0,muv,metallic silky silver,k15b,4.0,4395.0,1735.0,1690.0,7.0,5 speed,fwd,power,second,maharashtra,pune,820000.0
2012,cng,manual,45094.0,hatchback,glistening grey,k series petrol engine,3.0,3595.0,1475.0,1700.0,5.0,5 speed,fwd,power,second,maharashtra,pune,300000.0
2021,cng,manual,40247.0,sedan,white,1.2 l bi-fuel,4.0,3995.0,1680.0,1520.0,5.0,5 speed,,power,first,delhi,new delhi,750000.0
2013,cng,manual,142469.0,hatchback,white,f8d engine,3.0,3395.0,1490.0,1475.0,5.0,5 speed,fwd,power,first,rajasthan,jaipur,150000.0
2012,cng,manual,95221.0,hatchback,silky silver,k series petrol engine,3.0,3595.0,1475.0,1700.0,5.0,5 speed,fwd,power,second,maharashtra,pune,270909.0
2016,cng,manual,67900.0,muv,granite grey,k14b petrol engine,4.0,4296.0,1695.0,1685.0,7.0,5 speed,fwd,power,first,delhi,new delhi,590000.0
2015,cng,manual,85411.0,hatchback,bakers chocolate,k10b engine,3.0,3599.0,1495.0,1700.0,5.0,5 speed,fwd,power,first,maharashtra,pune,320000.0
2019,cng,manual,8484.0,hatchback,fiery red,,4.0,3610.0,1645.0,1560.0,5.0,5 speed,fwd,power,first,maharashtra,pune,520000.0
2013,cng,manual,71144.0,hatchback,red,k series petrol engine,3.0,3595.0,1475.0,1700.0,5.0,5 speed,fwd,power,second,maharashtra,thane,299001.0
2012,cng,manual,88191.0,hatchback,glistening grey,k series petrol engine,3.0,3595.0,1475.0,1700.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,192872.0
2022,cng,manual,1332.0,hatchback,grey,k10c,3.0,3655.0,1620.0,1675.0,5.0,,,power,first,maharashtra,pune,650000.0
2018,cng,manual,47600.0,hatchback,typhoon silver,,4.0,3610.0,1645.0,1560.0,5.0,5 speed,fwd,power,first,uttar pradesh,noida,450000.0
2019,cng,manual,23168.0,hatchback,star dust,,4.0,3610.0,1645.0,1560.0,5.0,5 speed,fwd,power,first,maharashtra,pune,450000.0
2016,cng,manual,180278.0,hatchback,bakers chocolate,k10b engine,3.0,3599.0,1495.0,1700.0,5.0,5 speed,fwd,power,second,maharashtra,pune,315000.0
2015,cng,manual,204603.0,muv,red,k series engine,4.0,4265.0,1695.0,1685.0,7.0,5 speed,fwd,power,first,maharashtra,pune,607089.0
2015,cng,manual,71967.0,hatchback,silver,k10b engine,3.0,3599.0,1495.0,1700.0,5.0,5 speed,fwd,power,third,delhi,new delhi,239471.0
2014,cng,manual,97720.0,hatchback,superior white,f8d engine,3.0,3395.0,1490.0,1475.0,5.0,5 speed,fwd,power,first,maharashtra,pune,271769.0
2020,cng,manual,40073.0,muv,metallic silky silver,k15b,4.0,4395.0,1735.0,1690.0,7.0,5 speed,fwd,power,first,maharashtra,pune,898457.0
